band	state	site	box	year	date	class	age	sex	experiment	treatment	cap_num	b_cort	s_cort	d_cort	a_cort	inj_type	ss_type	b_lat	s_lat	d_a_lat	b_gluc	s_gluc	d_gluc	a_gluc	stage	post_trt	mass	bhead	fwing	massd15	time_start	notes
88004570	NY	CU2	121	2019	157	adult	ASY	F	Color_Stressor	Control_Dull	3	1.7374	9.535		25.207	Cortro	B_S_A30	57	30	30	197	225		237	provision	yes	20.5	27.9	119		517	
88004754	NY	CU2	29	2019	163	adult	ASY	F	Color_Stressor	Predator_Dull	3	2	43.013		51.038	Cortro	B_S_A30	65	30	32	247	264		294	provision	yes	19	28.6	118		476	Day 6 mass: 36g/3N
156181153	NY	CU2	57	2019	166	adult	SY	F	Color_Stressor	Predator_Control	3	5.061	34.289		28.954	Cortro	B_S_A30	120	31	24	246	318		310	provision	yes	17	26.8	112		514	
212110294	NY	CU1	90	2019	162	adult	ASY	F	Color_Stressor	Predator_Dull	3	2.634	22.501		30.538	Cortro	B_S_A30	87	30	31	185	213		232	provision	yes	17.75	27.7	113		475	"Telomere sample taken (needlessly), but left in fridge overnight"
272106728	NY	CU2	54	2019	168	adult	SY	F	Color_Stressor	Predator_Control	3	4.311	68.023		71.557	Cortro	B_S_A30	71	31	30	219	244		250	provision	yes	18	28.3	120		466	
272106822	NY	CU2	68	2019	157	adult	ASY	F	Color_Stressor	Control_Dull	3	2.477	34.394		30.57	Cortro	B_S_A30	100	30	31	271	318		240	provision	yes	19	29.2	115		439	
272106913	NY	CU2	120	2019	158	adult	ASY	F	Color_Stressor	Control_Control	3	0.373	17.873		31.549	Cortro	B_S_A30	57	30	30	241	297		325	provision	no	18.5	29	122		471	
272107217	NY	CU2	116	2019	159	adult	ASY	F	Color_Stressor	Control_Control	3	2.929	16.169		23.211	Cortro	B_S_A30	89	30	31	223	272		305	provision	no	20.75	29.2	120		465	
272107361	NY	CU2	31	2019	168	adult	SY	F	Color_Stressor	Control_Control	3	0.752	33.093		122.281	Cortro	B_S_A30	87	35	30	223	308		252	provision	no	17	28.3	111		442	
272107698	NY	CU2	122	2019	162	adult	ASY	F	Color_Stressor	Predator_Control	3	5.545	24.156		35.409	Cortro	B_S_A30	90	29	30	186	254		294	provision	yes	18.5	28.6	111		461	Nesting Day 6 mass: 64g/5 chicks
272107739	NY	CU2	111	2019	151	adult	ASY	F	Color_Stressor	Control_Dull	3	0.47	15.581		9.208	Cortro	B_S_A30	132	34	30	191	251		241	provision	yes	17.5	26.6	110		457	Injection time represents ACTH injection
272107748	NY	CU2	39	2019	158	adult	ASY	F	Color_Stressor	Control_Control	3	0.448	7.743		12.897	Cortro	B_S_A30	57	30	30	233	330		372	provision	no	19.5	29.1	124		439	
272107786	NY	CU2	103	2019	155	adult	ASY	F	Color_Stressor	Control_Control	3	2.603	31.073		35.257	Cortro	B_S_A30	51	31	32	237	245		247	provision	no	18.5	28	117		457	
272107805	NY	CU2	35	2019	155	adult	ASY	F	Color_Stressor	Predator_Dull	3	5.306	57.108		104.069	Cortro	B_S_A30	180	32	31		188		212	provision	yes	18		114		445	"bhead seems to be entered wrong, may be on original data sheet"
272107809	NY	CU1	81	2019	161	adult	ASY	F	Color_Stressor	Control_Control	3	2.844	28.323		34.024	Cortro	B_S_A30	111	30	30	236	275		307	provision	no	19	28.3	117		558	
272107855	NY	CU2	62	2019	165	adult	SY	F	Color_Stressor	Control_Control	3	0.751	40.236		73.578	Cortro	B_S_A30	71	30	29	215	225		238	provision	no	16.5	28	113		477	"DAY 6: 4 CHICKS, 48g"
278171870	NY	CU2	12	2019	161	adult	SY	F	Color_Stressor	Predator_Dull	3	0.552	32.225		30.154	Cortro	B_S_A30	78	30	31	220	262		266	provision	yes	19.5	28.8	114		448	"Bolus: Y, day six size: 59 grams, 5 nestlings"
278171871	NY	CU2	1	2019	162	adult	ASY	F	Color_Stressor	Control_Dull	3	8.072	36.146		31.531	Cortro	B_S_A30	112	30	30	228	293		367	provision	yes	19	28.7	115		516	"Day 6 Mass: 62g/6 nestlings.
Captures #1 ans #2 were marked as SY."
278171872	NY	CU2	3	2019	163	adult	SY	F	Color_Stressor	Control_Dull	3	1.59	46.044		54.366	Cortro	B_S_A30	70	31	31	243	318		333	provision	yes	17	28.5	114		462	
278171873	NY	CU2	82	2019	162	adult	SY	F	Color_Stressor	Control_Control	3	1.312	20.023		19.006	Cortro	B_S_A30	115	31	30	269	282		231	provision	no	16.25	27.4	108		567	"Has pox on both feet
Day 6 mass: 73g / 6 nestlings"
278171875	NY	CU2	117	2019	163	adult	SY	F	Color_Stressor	Control_Control	3	0.776	35.659		24.362	Cortro	B_S_A30	90	30	30	287	352		403	provision	no	18.75	27.5	113.5		533	
278171877	NY	CU2	9	2019	168	adult	SY	F	Color_Stressor	Predator_Dull	3	1.294	20.842		57.992	Cortro	B_S_A30	66	31	32	214	253		299	provision	yes	17.5	27.4	110		437	
278171896	NY	CU2	78	2019	168	adult	ASY	F	Color_Stressor	Predator_Control	3	1.067	15.218		56.272	Cortro	B_S_A30	95	31	30	228	304		335	provision	yes	19	28.9	119		480	The age is entered as ASY but for the same bird the age is SY for capture #1 and #2
278172147	NY	CU2	101	2019	158	adult	ASY	F	Color_Stressor	Predator_Dull	3	0.662	36.528		37.905	Cortro	B_S_A30	59	30	30	234	251		295	provision	yes	16	28.7	115		426	Mass incorrect due to miscalibrated scale.
278172149	NY	CU2	109	2019	158	adult	SY	F	Color_Stressor	Control_Dull	3	0.571	48.487		45.655	Cortro	B_S_A30	75	30	30	192	256		283	provision	yes	14.75	28.7	112		483	Mass may be incorrect due to miscalibrated scale.
278172150	NY	CU2	80	2019	158	adult	SY	F	Color_Stressor	Control_Dull	3	1.916	27.38		16.118	Cortro	B_S_A30	68	33	30	228	236		251	provision	yes	14.5	29.1	114		459	Mass may be incorrect due to miscalibrated scale.
